"causabas","capitulo_cid10","grupo_cid10","causabas_categoria","causabas_subcategoria"
"A159"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15 Tuberculose respiratória, com confirmação bacteriológica e histológica","A159 Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
"A160"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A160 Tuberculose pulmonar com exames bacteriológico e histológico negativos"
"A161"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A161 Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
"A162"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A162 Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
"A163"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A163 Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
"A164"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A164 Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
"A165"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A165 Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
"A167"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A167 Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica"
"A168"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A168 Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
"A169"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16 Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A169 Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
"A170"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17 Tuberculose do sistema nervoso","A170 Meningite tuberculosa"
"A171"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17 Tuberculose do sistema nervoso","A171 Tuberculoma meníngeo"
"A178"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17 Tuberculose do sistema nervoso","A178 Outras tuberculoses do sistema nervoso"
"A179"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17 Tuberculose do sistema nervoso","A179 Tuberculose não especificada do sistema nervoso"
"A180"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A180 Tuberculose óssea e das articulações"
"A181"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A181 Tuberculose do aparelho geniturinário"
"A182"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A182 Linfadenopatia tuberculosa periférica"
"A183"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A183 Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
"A184"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A184 Tuberculose de pele e do tecido celular subcutâneo"
"A185"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A185 Tuberculose do olho"
"A186"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A186 Tuberculose do ouvido"
"A187"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A187 Tuberculose das supra-renais"
"A188"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18 Tuberculose de outros órgãos","A188 Tuberculose de outros órgãos especificados"
"A190"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar","A190 Tuberculose miliar aguda de localização única e especificada"
"A191"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar","A191 Tuberculose miliar aguda de múltiplas localizações"
"A192"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar","A192 Tuberculose miliar aguda não especificada"
"A198"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar","A198 Outras tuberculoses miliares"
"A199"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19 Tuberculose miliar","A199 Tuberculose miliar não especificada"
"A200"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A200 Peste bubônica"
"A201"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A201 Peste celulocutânea"
"A202"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A202 Peste pneumônica"
"A203"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A203 Peste meníngea"
"A207"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A207 Peste septicêmica"
"A208"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A208 Outras formas de peste"
"A209"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20 Peste","A209 Peste, forma não especificada"
"A210"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A210 Tularemia ulceroglandular"
"A211"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A211 Tularemia oculoglandular"
"A212"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A212 Tularemia pulmonar"
"A213"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A213 Tularemia gastrointestinal"
"A217"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A217 Tularemia generalizada"
"A218"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A218 Outras formas de tularemia"
"A219"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia","A219 Tularemia, forma não especificada"
"A220"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A220 Carbúnculo cutâneo"
"A221"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A221 Carbúnculo pulmonar"
"A222"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A222 Carbúnculo gastrointestinal"
"A227"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A227 Septicemia carbunculosa"
"A228"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A228 Outras formas de carbúnculo"
"A229"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo","A229 Carbúnculo, forma não especificada"
"A230"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A230 Brucelose por Brucella melitensis"
"A231"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A231 Brucelose por Brucella abortus"
"A232"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A232 Brucelose por Brucella suis"
"A233"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A233 Brucelose por Brucella canis"
"A238"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A238 Outras bruceloses"
"A239"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose","A239 Brucelose não especificada"
"A240"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose","A240 Mormo"
"A241"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose","A241 Melioidose aguda e fulminante"
"A242"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose","A242 Melioidose subaguda e crônica"
"A243"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose","A243 Outras melioidoses"
"A244"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose","A244 Melioidose não especificada"
"A250"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25 Febres transmitidas por mordedura de rato","A250 Espirilose"
"A251"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25 Febres transmitidas por mordedura de rato","A251 Estreptobacilose"
"A259"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25 Febres transmitidas por mordedura de rato","A259 Febre transmitida por mordedura de rato, tipo não especificado"
"A260"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26 Erisipelóide","A260 Erisipelóide cutâneo"
"A267"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26 Erisipelóide","A267 Septicemia por Erysipelothrix"
"A268"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26 Erisipelóide","A268 Outras formas de erisipelóide"
"A269"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26 Erisipelóide","A269 Erisipelóide não especificado"
"A270"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27 Leptospirose","A270 Leptopirose icterohemorrágica"
"A278"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27 Leptospirose","A278 Outras formas de leptospirose"
"A279"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27 Leptospirose","A279 Leptospirose não especificada"
"A280"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte","A280 Pasteurelose"
"A281"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte","A281 Doença por arranhadura do gato"
"A282"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte","A282 Yersiniose extra-intestinal"
"A288"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte","A288 Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte"
"A289"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte","A289 Doença bacteriana zoonótica não especificada"
"A300"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A300 Hanseníase (lepra) indeterminada"
"A301"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A301 Hanseníase (lepra) tuberculóide"
"A302"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A302 Hanseníase (lepra) tuberculóide borderline"
"A303"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A303 Hanseníase (lepra) dimorfa"
"A304"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A304 Hanseníase (lepra) lepromatosa borderline"
"A305"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A305 Hanseníase (lepra) lepromatosa"
"A308"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A308 Outras formas de hanseníase (lepra)"
"A309"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)","A309 Hanseníase (lepra) não especificada"
"A310"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31 Infecções devidas a outras micobactérias","A310 Infecção pulmonar micobacteriana"
"A311"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31 Infecções devidas a outras micobactérias","A311 Infecção cutânea micobacteriana"
"A318"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31 Infecções devidas a outras micobactérias","A318 Outras infecções micobacterianas"
"A319"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31 Infecções devidas a outras micobactérias","A319 Infecção micobacteriana não especificada"
"A320"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)","A320 Listeriose cutânea"
"A321"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)","A321 Meningite e meningoencefalite por listéria"
"A327"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)","A327 Septicemia listeriótica"
"A328"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)","A328 Outras formas de listeriose"
"A329"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)","A329 Listeriose não especificada"
"A33"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A33 Tétano do recém-nascido (neonatal)","A33 Tétano do recém-nascido (neonatal)"
"A34"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A34 Tétano obstétrico","A34 Tétano obstétrico"
"A35"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A35 Outros tipos de tétano","A35 Outros tipos de tétano"
"A360"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A360 Difteria faríngea"
"A361"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A361 Difteria nasofaríngea"
"A362"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A362 Difteria laríngea"
"A363"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A363 Difteria cutânea"
"A368"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A368 Outras formas de difteria"
"A369"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria","A369 Difteria não especificada"
"A370"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37 Coqueluche","A370 Coqueluche por Bordetella pertussis"
"A371"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37 Coqueluche","A371 Coqueluche por Bordetella parapertussis"
"A378"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37 Coqueluche","A378 Coqueluche por outras espécies da Bordetella"
"A379"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37 Coqueluche","A379 Coqueluche não especificada"
"A38"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A38 Escarlatina","A38 Escarlatina"
"A390"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A390 Meningite meningocócica"
"A391"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A391 Síndrome de Waterhouse-Friderichsen"
"A392"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A392 Meningococcemia aguda"
"A393"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A393 Meningococcemia crônica"
"A394"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A394 Meningococcemia não especificada"
"A395"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A395 Cardite por meningococos"
"A398"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica","A398 Outras infecções por meningococos"
