"causabas","capitulo_cid10","grupo_cid10","causabas_categoria"
"A21"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21 Tularemia"
"A22"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22 Carbúnculo"
"A23"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23 Brucelose"
"A24"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24 Mormo e melioidose"
"A25"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25 Febres transmitidas por mordedura de rato"
"A26"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26 Erisipelóide"
"A27"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27 Leptospirose"
"A28"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28 Outras doenças bacterianas zoonóticas não classificadas em outra parte"
"A30"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30 Hanseníase (doença de Hansen) (lepra)"
"A31"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31 Infecções devidas a outras micobactérias"
"A32"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32 Listeriose (listeríase)"
"A33"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A33 Tétano do recém-nascido (neonatal)"
"A34"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A34 Tétano obstétrico"
"A35"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A35 Outros tipos de tétano"
"A36"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36 Difteria"
"A37"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37 Coqueluche"
"A38"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A38 Escarlatina"
"A39"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39 Infecção meningogócica"
"A40"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40 Septicemia estreptocócica"
"A41"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41 Outras septicemias"
"A42"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42 Actinomicose"
"A43"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A43 Nocardiose"
"A44"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A44 Bartonelose"
"A46"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A46 Erisipela"
"A48"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48 Outras doenças bacterianas não classificadas em outra parte"
"A49"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49 Infecção bacteriana de localização não especificada"
"A50"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50 Sífilis congênita"
"A51"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A51 Sífilis precoce"
"A52"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A52 Sífilis tardia"
"A53"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A53 Outras formas e as não especificadas da sífilis"
"A54"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A54 Infecção gonocócica"
"A55"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A55 Linfogranuloma (venéreo) por clamídia"
"A56"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A56 Outras infecções causadas por clamídias transmitidas por via sexual"
"A57"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A57 Cancro mole"
"A58"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A58 Granuloma inguinal"
"A59"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A59 Tricomoníase"
"A60"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A60 Infecções anogenitais pelo vírus do herpes (herpes simples)"
"A63"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A63 Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
"A64"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A64 Doenças sexualmente transmitidas, não especificadas"
"A65"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por espiroquetas","A65 Sífilis não-venérea"
"A66"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por espiroquetas","A66 Bouba"
"A67"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por espiroquetas","A67 Pinta (carate)"
"A68"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por espiroquetas","A68 Febres recorrentes (Borrelioses)"
"A69"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por espiroquetas","A69 Outras infecções por espiroquetas"
"A70"," I - Algumas doenças infecciosas e parasitárias","Outras doenças causadas por clamídias","A70 Infecções causadas por Clamídia psittaci"
"A71"," I - Algumas doenças infecciosas e parasitárias","Outras doenças causadas por clamídias","A71 Tracoma"
"A74"," I - Algumas doenças infecciosas e parasitárias","Outras doenças causadas por clamídias","A74 Outras doenças causadas por Clamídias"
"A75"," I - Algumas doenças infecciosas e parasitárias","Rickettsioses","A75 Tifo exantemático"
"A77"," I - Algumas doenças infecciosas e parasitárias","Rickettsioses","A77 Febre maculosa (rickettsioses transmitidas por carrapatos)"
"A78"," I - Algumas doenças infecciosas e parasitárias","Rickettsioses","A78 Febre Q"
"A79"," I - Algumas doenças infecciosas e parasitárias","Rickettsioses","A79 Outras rickettsioses"
"A80"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A80 Poliomielite aguda"
"A81"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A81 Infecções por vírus atípicos do sistema nervoso central"
"A82"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A82 Raiva"
"A83"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A83 Encefalite por vírus transmitidos por mosquitos"
"A84"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A84 Encefalite por vírus transmitido por carrapatos"
"A85"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A85 Outras encefalites virais, não classificadas em outra parte"
"A86"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A86 Encefalite viral, não especificada"
"A87"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A87 Meningite viral"
"A88"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A88 Outras infecções virais do sistema nervoso central não classificadas em outra parte"
"A89"," I - Algumas doenças infecciosas e parasitárias","Infecções virais do sistema nervoso central","A89 Infecções virais não especificadas do sistema nervoso central"
"A90"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A90 Dengue (dengue clássico)"
"A91"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A91 Febre hemorrágica devida ao vírus do dengue"
"A92"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A92 Outras febres virais transmitidas por mosquitos"
"A93"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A93 Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte"
"A94"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A94 Febre viral transmitida por artrópodes, não especificada"
"A95"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A95 Febre amarela"
"A96"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A96 Febre hemorrágica por arenavírus"
"A98"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A98 Outras febres hemorrágicas por vírus, não classificadas em outra parte"
"A99"," I - Algumas doenças infecciosas e parasitárias","Febres por arbovírus e febres hemorrágicas virais","A99 Febres hemorrágicas virais não especificadas"
"B00"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B00 Infecções pelo vírus do herpes (herpes simples)"
"B01"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B01 Varicela (Catapora)"
"B02"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B02 Herpes zoster (Zona)"
"B03"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B03 Varíola"
"B04"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B04 Varíola dos macacos (Monkeypox)"
"B05"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B05 Sarampo"
"B06"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B06 Rubéola"
"B07"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B07 Verrugas de origem viral"
"B08"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B08 Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
"B09"," I - Algumas doenças infecciosas e parasitárias","Infecções virais caracterizadas por lesões de pele e mucosas","B09 Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas"
"B15"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral","B15 Hepatite aguda A"
"B16"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral","B16 Hepatite aguda B"
"B17"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral","B17 Outras hepatites virais agudas"
"B18"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral","B18 Hepatite viral crônica"
"B19"," I - Algumas doenças infecciosas e parasitárias","Hepatite viral","B19 Hepatite viral não especificada"
"B20"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana (HIV)","B20 Doença pelo vírus da imunodeficiência humana (HIV), resultando em doenças infecciosas e parasitárias"
"B21"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana (HIV)","B21 Doença pelo vírus da imunodeficiência humana (HIV), resultando em neoplasias malignas"
"B22"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana (HIV)","B22 Doença pelo vírus da imunodeficiência humana (HIV) resultando em outras doenças especificadas"
"B23"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana (HIV)","B23 Doença pelo vírus da imunodeficiência humana (HIV) resultando em outras doenças"
"B24"," I - Algumas doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana (HIV)","B24 Doença pelo vírus da imunodeficiência humana (HIV) não especificada"
"B25"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B25 Doença por citomegalovírus"
"B26"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B26 Caxumba (Parotidite epidêmica)"
"B27"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B27 Mononucleose infecciosa"
"B30"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B30 Conjuntivite viral"
"B33"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B33 Outras doenças por vírus não classificada em outra parte"
"B34"," I - Algumas doenças infecciosas e parasitárias","Outras doenças por vírus","B34 Doenças por vírus, de localização não especificada"
"B35"," I - Algumas doenças infecciosas e parasitárias","Micoses","B35 Dermatofitose"
"B36"," I - Algumas doenças infecciosas e parasitárias","Micoses","B36 Outras micoses superficiais"
"B37"," I - Algumas doenças infecciosas e parasitárias","Micoses","B37 Candidíase"
"B38"," I - Algumas doenças infecciosas e parasitárias","Micoses","B38 Coccidioidomicose"
"B39"," I - Algumas doenças infecciosas e parasitárias","Micoses","B39 Histoplasmose"
"B40"," I - Algumas doenças infecciosas e parasitárias","Micoses","B40 Blastomicose"
"B41"," I - Algumas doenças infecciosas e parasitárias","Micoses","B41 Paracoccidioidomicose"
"B42"," I - Algumas doenças infecciosas e parasitárias","Micoses","B42 Esporotricose"
"B43"," I - Algumas doenças infecciosas e parasitárias","Micoses","B43 Cromomicose e abscesso feomicótico"
"B44"," I - Algumas doenças infecciosas e parasitárias","Micoses","B44 Aspergilose"
"B45"," I - Algumas doenças infecciosas e parasitárias","Micoses","B45 Criptococose"
"B46"," I - Algumas doenças infecciosas e parasitárias","Micoses","B46 Zigomicose"
"B47"," I - Algumas doenças infecciosas e parasitárias","Micoses","B47 Micetoma"
"B48"," I - Algumas doenças infecciosas e parasitárias","Micoses","B48 Outras micoses, não classificadas em outra parte"
"B49"," I - Algumas doenças infecciosas e parasitárias","Micoses","B49 Micose não especificada"
"B50"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B50 Malária por Plasmodium falciparum"
"B51"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B51 Malária por Plasmodium vivax"
"B52"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B52 Malária por Plasmodium malariae"
"B53"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B53 Outras formas de malária confirmadas por exames parasitológicos"
"B54"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B54 Malária não especificada"
"B55"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B55 Leishmaniose"
"B56"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B56 Tripanossomíase africana"
"B57"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B57 Doença de Chagas"
"B58"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B58 Toxoplasmose"
"B59"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B59 Pneumocistose"
"B60"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B60 Outras doenças devidas a protozoários, não classificadas em outra parte"
"B64"," I - Algumas doenças infecciosas e parasitárias","Doenças devidas a protozoários","B64 Doença não especificada devida a protozoários"
"B65"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B65 Esquistossomose (bilharziose) (Schistosomíase)"
"B66"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B66 Outras infestações por trematódeos"
"B67"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B67 Equinococose"
"B68"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B68 Infestação por Taenia"
"B69"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B69 Cisticercose"
"B70"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B70 Difilobotríase e esparganose"
"B71"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B71 Outras infestações por cestóides"
"B72"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B72 Dracontíase"
"B73"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B73 Oncocercose"
"B74"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B74 Filariose"
"B75"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B75 Triquinose"
"B76"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B76 Ancilostomíase"
"B77"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B77 Ascaridíase"
"B78"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B78 Estrongiloidíase"
"B79"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B79 Tricuríase"
"B80"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B80 Oxiuríase"
"B81"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B81 Outras helmintíases intestinais, não classificadas em outra parte"
"B82"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B82 Parasitose intestinal não especificada"
"B83"," I - Algumas doenças infecciosas e parasitárias","Helmintíases","B83 Outras helmintíases"
"B85"," I - Algumas doenças infecciosas e parasitárias","Pediculose, acaríase e outras infestações","B85 Pediculose e ftiríase"
"B86"," I - Algumas doenças infecciosas e parasitárias","Pediculose, acaríase e outras infestações","B86 Escabiose (sarna)"
"B87"," I - Algumas doenças infecciosas e parasitárias","Pediculose, acaríase e outras infestações","B87 Miíase"
"B88"," I - Algumas doenças infecciosas e parasitárias","Pediculose, acaríase e outras infestações","B88 Outras infestações"
"B89"," I - Algumas doenças infecciosas e parasitárias","Pediculose, acaríase e outras infestações","B89 Doença parasitária não especificada"
"B90"," I - Algumas doenças infecciosas e parasitárias","Sequelas de doenças infecciosas e parasitárias","B90 Sequelas de tuberculose"
"B91"," I - Algumas doenças infecciosas e parasitárias","Sequelas de doenças infecciosas e parasitárias","B91 Sequelas de poliomielite"
"B92"," I - Algumas doenças infecciosas e parasitárias","Sequelas de doenças infecciosas e parasitárias","B92 Sequelas de hanseníase (lepra)"
"B94"," I - Algumas doenças infecciosas e parasitárias","Sequelas de doenças infecciosas e parasitárias","B94 Sequelas de outras doenças infecciosas e parasitárias e das não especificadas"
"B95"," I - Algumas doenças infecciosas e parasitárias","Agentes de infecções bacterianas, virais e outros agentes infecciosos","B95 Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos"
"B96"," I - Algumas doenças infecciosas e parasitárias","Agentes de infecções bacterianas, virais e outros agentes infecciosos","B96 Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos"
"B97"," I - Algumas doenças infecciosas e parasitárias","Agentes de infecções bacterianas, virais e outros agentes infecciosos","B97 Vírus como causa de doenças classificadas em outros capítulos"
"B99"," I - Algumas doenças infecciosas e parasitárias","Outras doenças infecciosas","B99 Doenças infecciosas, outras e as não especificadas"
"C00"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C00 Neoplasia maligna do lábio"
"C01"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C01 Neoplasia maligna da base da língua"
"C02"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C02 Neoplasia maligna de outras partes e de partes não especificadas da língua"
"C03"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C03 Neoplasia maligna da gengiva"
"C04"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C04 Neoplasia maligna do assoalho da boca"
"C05"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C05 Neoplasia maligna do palato"
"C06"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C06 Neoplasia maligna de outras partes e de partes não especificadas da boca"
"C07"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C07 Neoplasia maligna da glândula parótida"
"C08"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C08 Neoplasia maligna de outras glândulas salivares maiores e as não especificadas"
"C09"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C09 Neoplasia maligna da amígdala"
"C10"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C10 Neoplasia maligna da orofaringe"
"C11"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C11 Neoplasia maligna da nasofaringe"
"C12"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C12 Neoplasia maligna do seio piriforme"
"C13"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C13 Neoplasia maligna da hipofaringe"
"C14"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C14 Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
"C15"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C15 Neoplasia maligna do esôfago"
"C16"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C16 Neoplasia maligna do estômago"
"C17"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C17 Neoplasia maligna do intestino delgado"
"C18"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C18 Neoplasia maligna do cólon"
"C19"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C19 Neoplasia maligna da junção retossigmóide"
"C20"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C20 Neoplasia maligna do reto"
"C21"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C21 Neoplasia maligna do ânus e do canal anal"
"C22"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C22 Neoplasia maligna do fígado e das vias biliares intra-hepáticas"
"C23"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C23 Neoplasia maligna da vesícula biliar"
"C24"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C24 Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares"
"C25"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C25 Neoplasia maligna do pâncreas"
"C26"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C26 Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo"
"C30"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C30 Neoplasia maligna da cavidade nasal e do ouvido médio"
"C31"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C31 Neoplasia maligna dos seios da face"
"C32"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C32 Neoplasia maligna da laringe"
"C33"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C33 Neoplasia maligna da traquéia"
"C34"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C34 Neoplasia maligna dos brônquios e dos pulmões"
"C37"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C37 Neoplasia maligna do timo"
"C38"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C38 Neoplasia maligna do coração, mediastino e pleura"
"C39"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C39 Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos"
"C40"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C40 Neoplasia maligna dos ossos e cartilagens articulares dos membros"
"C41"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C41 Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas"
"C43"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C43 Melanoma maligno da pele"
"C44"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C44 Outras neoplasias malignas da pele"
"C45"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C45 Mesotelioma"
"C46"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C46 Sarcoma de Kaposi"
"C47"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C47 Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo"
"C48"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C48 Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio"
"C49"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C49 Neoplasia maligna do tecido conjuntivo e de outros tecidos moles"
"C50"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C50 Neoplasia maligna da mama"
"C51"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C51 Neoplasia maligna da vulva"
"C52"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C52 Neoplasia maligna da vagina"
"C53"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C53 Neoplasia maligna do colo do útero"
"C54"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C54 Neoplasia maligna do corpo do útero"
"C55"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C55 Neoplasia maligna do útero, porção não especificada"
"C56"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C56 Neoplasia maligna do ovário"
"C57"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C57 Neoplasia maligna de outros órgãos genitais femininos e dos não especificados"
"C58"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C58 Neoplasia maligna da placenta"
"C60"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C60 Neoplasia maligna do pênis"
"C61"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C61 Neoplasia maligna da próstata"
"C62"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C62 Neoplasia maligna dos testículos"
"C63"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C63 Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados"
"C64"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C64 Neoplasia maligna do rim, exceto pelve renal"
"C65"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C65 Neoplasia maligna da pelve renal"
"C66"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C66 Neoplasia maligna dos ureteres"
"C67"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C67 Neoplasia maligna da bexiga"
"C68"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C68 Neoplasia maligna de outros órgãos urinários e dos não especificados"
"C69"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C69 Neoplasia maligna do olho e anexos"
"C70"," II - Neoplasias (tumores)","Neoplasias (tumores) malignas(os)","C70 Neoplasia maligna das meninges"
