"causabas","grupo_cid10"
"B978","Agentes de infecções bacterianas, virais e outros agentes infecciosos"
"B99","Outras doenças infecciosas"
"C140","Neoplasias (tumores) malignas(os)"
"C142","Neoplasias (tumores) malignas(os)"
"C148","Neoplasias (tumores) malignas(os)"
"C260","Neoplasias (tumores) malignas(os)"
"C261","Neoplasias (tumores) malignas(os)"
"C268","Neoplasias (tumores) malignas(os)"
"C269","Neoplasias (tumores) malignas(os)"
"C390","Neoplasias (tumores) malignas(os)"
"C398","Neoplasias (tumores) malignas(os)"
"C399","Neoplasias (tumores) malignas(os)"
"C460","Neoplasias (tumores) malignas(os)"
"C461","Neoplasias (tumores) malignas(os)"
"C462","Neoplasias (tumores) malignas(os)"
"C463","Neoplasias (tumores) malignas(os)"
"C467","Neoplasias (tumores) malignas(os)"
"C468","Neoplasias (tumores) malignas(os)"
"C469","Neoplasias (tumores) malignas(os)"
"C55","Neoplasias (tumores) malignas(os)"
"C579","Neoplasias (tumores) malignas(os)"
"C639","Neoplasias (tumores) malignas(os)"
"C689","Neoplasias (tumores) malignas(os)"
"C759","Neoplasias (tumores) malignas(os)"
"C760","Neoplasias (tumores) malignas(os)"
"C761","Neoplasias (tumores) malignas(os)"
"C762","Neoplasias (tumores) malignas(os)"
"C763","Neoplasias (tumores) malignas(os)"
"C764","Neoplasias (tumores) malignas(os)"
"C765","Neoplasias (tumores) malignas(os)"
"C767","Neoplasias (tumores) malignas(os)"
"C768","Neoplasias (tumores) malignas(os)"
"C770","Neoplasias (tumores) malignas(os)"
"C771","Neoplasias (tumores) malignas(os)"
"C772","Neoplasias (tumores) malignas(os)"
"C773","Neoplasias (tumores) malignas(os)"
"C774","Neoplasias (tumores) malignas(os)"
"C775","Neoplasias (tumores) malignas(os)"
"C778","Neoplasias (tumores) malignas(os)"
"C779","Neoplasias (tumores) malignas(os)"
"C780","Neoplasias (tumores) malignas(os)"
"C781","Neoplasias (tumores) malignas(os)"
"C782","Neoplasias (tumores) malignas(os)"
"C783","Neoplasias (tumores) malignas(os)"
"C784","Neoplasias (tumores) malignas(os)"
"C785","Neoplasias (tumores) malignas(os)"
"C786","Neoplasias (tumores) malignas(os)"
"C787","Neoplasias (tumores) malignas(os)"
"C788","Neoplasias (tumores) malignas(os)"
"C790","Neoplasias (tumores) malignas(os)"
"C791","Neoplasias (tumores) malignas(os)"
"C792","Neoplasias (tumores) malignas(os)"
"C793","Neoplasias (tumores) malignas(os)"
"C794","Neoplasias (tumores) malignas(os)"
"C795","Neoplasias (tumores) malignas(os)"
"C796","Neoplasias (tumores) malignas(os)"
"C797","Neoplasias (tumores) malignas(os)"
"C798","Neoplasias (tumores) malignas(os)"
"C80","Neoplasias (tumores) malignas(os)"
"C97","Neoplasias (tumores) malignas(os)"
"D000","Neoplasias (tumores) in situ"
"D014","Neoplasias (tumores) in situ"
"D015","Neoplasias (tumores) in situ"
"D017","Neoplasias (tumores) in situ"
"D019","Neoplasias (tumores) in situ"
"D029","Neoplasias (tumores) in situ"
"D073","Neoplasias (tumores) in situ"
"D076","Neoplasias (tumores) in situ"
"D091","Neoplasias (tumores) in situ"
"D097","Neoplasias (tumores) in situ"
"D099","Neoplasias (tumores) in situ"
"D109","Neoplasias (tumores) benignas(os)"
"D139","Neoplasias (tumores) benignas(os)"
"D144","Neoplasias (tumores) benignas(os)"
"D170","Neoplasias (tumores) benignas(os)"
"D171","Neoplasias (tumores) benignas(os)"
"D172","Neoplasias (tumores) benignas(os)"
"D173","Neoplasias (tumores) benignas(os)"
"D174","Neoplasias (tumores) benignas(os)"
"D175","Neoplasias (tumores) benignas(os)"
"D176","Neoplasias (tumores) benignas(os)"
"D177","Neoplasias (tumores) benignas(os)"
"D179","Neoplasias (tumores) benignas(os)"
"D180","Neoplasias (tumores) benignas(os)"
"D181","Neoplasias (tumores) benignas(os)"
"D190","Neoplasias (tumores) benignas(os)"
"D191","Neoplasias (tumores) benignas(os)"
"D197","Neoplasias (tumores) benignas(os)"
"D199","Neoplasias (tumores) benignas(os)"
"D200","Neoplasias (tumores) benignas(os)"
"D201","Neoplasias (tumores) benignas(os)"
"D210","Neoplasias (tumores) benignas(os)"
"D211","Neoplasias (tumores) benignas(os)"
"D212","Neoplasias (tumores) benignas(os)"
"D213","Neoplasias (tumores) benignas(os)"
"D214","Neoplasias (tumores) benignas(os)"
"D215","Neoplasias (tumores) benignas(os)"
"D216","Neoplasias (tumores) benignas(os)"
"D219","Neoplasias (tumores) benignas(os)"
"D289","Neoplasias (tumores) benignas(os)"
"D299","Neoplasias (tumores) benignas(os)"
"D309","Neoplasias (tumores) benignas(os)"
"D369","Neoplasias (tumores) benignas(os)"
"D370","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D376","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D377","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D379","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D386","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D39","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D390","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D397","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D399","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D409","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D419","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D449","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D460","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D461","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D462","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D463","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D464","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D467","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D469","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D471","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D487","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D489","Neoplasias (tumores) de comportamento incerto ou desconhecido"
"D500","Anemias nutricionais"
"D509","Anemias nutricionais"
"D594","Anemias hemolíticas"
"D598","Anemias hemolíticas"
"D599","Anemias hemolíticas"
"D62","Anemias aplásticas e outras anemias"
"D630","Anemias aplásticas e outras anemias"
"D638","Anemias aplásticas e outras anemias"
"D641","Anemias aplásticas e outras anemias"
"D642","Anemias aplásticas e outras anemias"
"D648","Anemias aplásticas e outras anemias"
"D649","Anemias aplásticas e outras anemias"
"D65","Defeitos da coagulação, púrpura e outras afecções hemorrágicas"
"D68","Defeitos da coagulação, púrpura e outras afecções hemorrágicas"
"D759","Outras doenças do sangue e dos órgãos hematopoéticos"
"D800","Alguns transtornos que comprometem o mecanismo imunitário"
"D801","Alguns transtornos que comprometem o mecanismo imunitário"
"D802","Alguns transtornos que comprometem o mecanismo imunitário"
"D803","Alguns transtornos que comprometem o mecanismo imunitário"
"D804","Alguns transtornos que comprometem o mecanismo imunitário"
"D805","Alguns transtornos que comprometem o mecanismo imunitário"
"D806","Alguns transtornos que comprometem o mecanismo imunitário"
"D807","Alguns transtornos que comprometem o mecanismo imunitário"
"D808","Alguns transtornos que comprometem o mecanismo imunitário"
"D809","Alguns transtornos que comprometem o mecanismo imunitário"
"D810","Alguns transtornos que comprometem o mecanismo imunitário"
"D811","Alguns transtornos que comprometem o mecanismo imunitário"
"D812","Alguns transtornos que comprometem o mecanismo imunitário"
"D813","Alguns transtornos que comprometem o mecanismo imunitário"
"D814","Alguns transtornos que comprometem o mecanismo imunitário"
"D815","Alguns transtornos que comprometem o mecanismo imunitário"
"D816","Alguns transtornos que comprometem o mecanismo imunitário"
"D817","Alguns transtornos que comprometem o mecanismo imunitário"
"D818","Alguns transtornos que comprometem o mecanismo imunitário"
"D819","Alguns transtornos que comprometem o mecanismo imunitário"
"D820","Alguns transtornos que comprometem o mecanismo imunitário"
"D821","Alguns transtornos que comprometem o mecanismo imunitário"
"D822","Alguns transtornos que comprometem o mecanismo imunitário"
"D823","Alguns transtornos que comprometem o mecanismo imunitário"
"D824","Alguns transtornos que comprometem o mecanismo imunitário"
"D828","Alguns transtornos que comprometem o mecanismo imunitário"
"D829","Alguns transtornos que comprometem o mecanismo imunitário"
"D830","Alguns transtornos que comprometem o mecanismo imunitário"
"D831","Alguns transtornos que comprometem o mecanismo imunitário"
"D832","Alguns transtornos que comprometem o mecanismo imunitário"
"D838","Alguns transtornos que comprometem o mecanismo imunitário"
"D839","Alguns transtornos que comprometem o mecanismo imunitário"
"D840","Alguns transtornos que comprometem o mecanismo imunitário"
"D841","Alguns transtornos que comprometem o mecanismo imunitário"
"D848","Alguns transtornos que comprometem o mecanismo imunitário"
"D849","Alguns transtornos que comprometem o mecanismo imunitário"
"D898","Alguns transtornos que comprometem o mecanismo imunitário"
"D899","Alguns transtornos que comprometem o mecanismo imunitário"
"E078","Transtornos da glândula tireóide"
"E079","Transtornos da glândula tireóide"
"E15","Outros transtornos da regulação da glicose e da secreção pancreática interna"
"E16","Outros transtornos da regulação da glicose e da secreção pancreática interna"
"E349","Transtornos de outras glândulas endócrinas"
"E350","Transtornos de outras glândulas endócrinas"
"E351","Transtornos de outras glândulas endócrinas"
"E358","Transtornos de outras glândulas endócrinas"
"E500","Outras deficiências nutricionais"
"E501","Outras deficiências nutricionais"
"E502","Outras deficiências nutricionais"
"E503","Outras deficiências nutricionais"
"E504","Outras deficiências nutricionais"
"E505","Outras deficiências nutricionais"
"E506","Outras deficiências nutricionais"
"E507","Outras deficiências nutricionais"
"E508","Outras deficiências nutricionais"
"E509","Outras deficiências nutricionais"
"E641","Outras deficiências nutricionais"
"E853","Distúrbios metabólicos"
"E854","Distúrbios metabólicos"
"E858","Distúrbios metabólicos"
"E859","Distúrbios metabólicos"
"E86","Distúrbios metabólicos"
"E870","Distúrbios metabólicos"
"E871","Distúrbios metabólicos"
"E872","Distúrbios metabólicos"
"E873","Distúrbios metabólicos"
"E874","Distúrbios metabólicos"
"E875","Distúrbios metabólicos"
"E876","Distúrbios metabólicos"
"E877","Distúrbios metabólicos"
"E878","Distúrbios metabólicos"
"E90","Distúrbios metabólicos"
"F04","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F050","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F051","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F058","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F059","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F060","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F061","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F062","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F063","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F064","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F065","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F066","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F067","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F068","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F069","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F070","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F072","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F078","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F079","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F09","Transtornos mentais orgânicos, inclusive os sintomáticos"
"F170","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F171","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F172","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F173","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F174","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F175","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F176","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F177","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F178","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F179","Transtornos mentais e comportamentais devidos ao uso de substância psicoativa"
"F300","Transtornos do humor (afetivos)"
"F301","Transtornos do humor (afetivos)"
"F302","Transtornos do humor (afetivos)"
"F308","Transtornos do humor (afetivos)"
"F309","Transtornos do humor (afetivos)"
"F310","Transtornos do humor (afetivos)"
"F311","Transtornos do humor (afetivos)"
"F312","Transtornos do humor (afetivos)"
"F313","Transtornos do humor (afetivos)"
"F314","Transtornos do humor (afetivos)"
"F315","Transtornos do humor (afetivos)"
"F316","Transtornos do humor (afetivos)"
"F317","Transtornos do humor (afetivos)"
"F318","Transtornos do humor (afetivos)"
"F319","Transtornos do humor (afetivos)"
"F320","Transtornos do humor (afetivos)"
"F321","Transtornos do humor (afetivos)"
"F322","Transtornos do humor (afetivos)"
"F323","Transtornos do humor (afetivos)"
"F328","Transtornos do humor (afetivos)"
"F329","Transtornos do humor (afetivos)"
"F330","Transtornos do humor (afetivos)"
"F331","Transtornos do humor (afetivos)"
"F332","Transtornos do humor (afetivos)"
"F333","Transtornos do humor (afetivos)"
"F334","Transtornos do humor (afetivos)"
"F338","Transtornos do humor (afetivos)"
"F339","Transtornos do humor (afetivos)"
"F340","Transtornos do humor (afetivos)"
"F341","Transtornos do humor (afetivos)"
"F348","Transtornos do humor (afetivos)"
"F349","Transtornos do humor (afetivos)"
"F380","Transtornos do humor (afetivos)"
"F381","Transtornos do humor (afetivos)"
"F388","Transtornos do humor (afetivos)"
"F39","Transtornos do humor (afetivos)"
"F400","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F401","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F402","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F408","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F409","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F410","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F411","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F412","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F413","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F418","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F419","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F420","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F421","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F422","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F428","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F429","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F430","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F431","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F432","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F438","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F439","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F440","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F441","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F442","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F443","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F444","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F445","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F446","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F447","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F448","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F449","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F450","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F451","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F452","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F453","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F454","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F458","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F459","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F480","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F481","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F488","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F489","Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes"
"F508","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F509","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F510","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F511","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F513","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F514","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F515","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F518","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F519","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F520","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F521","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F522","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F523","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F524","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F525","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F526","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F527","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F528","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F529","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F53","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F530","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F531","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F538","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F539","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F54","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F55","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F59","Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos"
"F600","Transtornos da personalidade e do comportamento do adulto"
"F601","Transtornos da personalidade e do comportamento do adulto"
"F602","Transtornos da personalidade e do comportamento do adulto"
"F603","Transtornos da personalidade e do comportamento do adulto"
"F604","Transtornos da personalidade e do comportamento do adulto"
"F605","Transtornos da personalidade e do comportamento do adulto"
"F606","Transtornos da personalidade e do comportamento do adulto"
"F607","Transtornos da personalidade e do comportamento do adulto"
"F608","Transtornos da personalidade e do comportamento do adulto"
"F609","Transtornos da personalidade e do comportamento do adulto"
"F61","Transtornos da personalidade e do comportamento do adulto"
"F620","Transtornos da personalidade e do comportamento do adulto"
"F621","Transtornos da personalidade e do comportamento do adulto"
"F628","Transtornos da personalidade e do comportamento do adulto"
"F629","Transtornos da personalidade e do comportamento do adulto"
"F630","Transtornos da personalidade e do comportamento do adulto"
"F631","Transtornos da personalidade e do comportamento do adulto"
