"causabas","capitulo_cid10","grupo_cid10","causabas_categoria"
"A061"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.1 Amebíase intestinal crônica"
"A062"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.2 Colite amebiana não-disentérica"
"A063"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.3 Ameboma intestinal"
"A064"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.4 Abscesso amebiano do fígado"
"A065"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.5 Abscesso amebiano do pulmão"
"A066"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.6 Abscesso amebiano do cérebro"
"A067"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.7 Amebíase cutânea"
"A068"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.8 Infecção amebiana de outras localizações"
"A069"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A06.9 Amebíase não especificada"
"A070"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.0 Balantidíase"
"A071"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.1 Giardíase [lamblíase]"
"A072"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.2 Criptosporidiose"
"A073"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.3 Isosporíase"
"A078"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.8 Outras doenças intestinais especificadas por protozoários"
"A079"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A07.9 Doença intestinal não especificada por protozoários"
"A080"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.0 Enterite por rotavírus"
"A081"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.1 Gastroenteropatia aguda pelo agente de Norwalk"
"A082"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.2 Enterite por adenovírus"
"A083"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.3 Outras enterites virais"
"A084"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.4 Infecção intestinal devida a vírus não especificado"
"A085"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A08.5 Outras infecções intestinais especificadas"
"A09"," I - Algumas doenças infecciosas e parasitárias","Doenças infecciosas intestinais","A09. Diarréia e gastroenterite de origem infecciosa presumível"
"A150"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.0 Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
"A151"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.1 Tuberculose pulmonar, com confirmação somente por cultura"
"A152"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.2 Tuberculose pulmonar, com confirmação histológica"
"A153"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.3 Tuberculose pulmonar, com confirmação por meio não especificado"
"A154"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.4 Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
"A155"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.5 Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
"A156"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.6 Pleuris tuberculoso, com confirmação bacteriológica e histológica"
"A157"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.7 Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
"A158"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.8 Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
"A159"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A15.9 Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
"A160"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.0 Tuberculose pulmonar com exames bacteriológico e histológico negativos"
"A161"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.1 Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
"A162"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.2 Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
"A163"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.3 Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
"A164"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.4 Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
"A165"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.5 Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
"A167"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.7 Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica"
"A168"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.8 Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
"A169"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A16.9 Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
"A170"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17.0 Meningite tuberculosa"
"A171"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17.1 Tuberculoma meníngeo"
"A178"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17.8 Outras tuberculoses do sistema nervoso"
"A179"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A17.9 Tuberculose não especificada do sistema nervoso"
"A180"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.0 Tuberculose óssea e das articulações"
"A181"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.1 Tuberculose do aparelho geniturinário"
"A182"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.2 Linfadenopatia tuberculosa periférica"
"A183"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.3 Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
"A184"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.4 Tuberculose de pele e do tecido celular subcutâneo"
"A185"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.5 Tuberculose do olho"
"A186"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.6 Tuberculose do ouvido"
"A187"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.7 Tuberculose das supra-renais"
"A188"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A18.8 Tuberculose de outros órgãos especificados"
"A190"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19.0 Tuberculose miliar aguda de localização única e especificada"
"A191"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19.1 Tuberculose miliar aguda de múltiplas localizações"
"A192"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19.2 Tuberculose miliar aguda não especificada"
"A198"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19.8 Outras tuberculoses miliares"
"A199"," I - Algumas doenças infecciosas e parasitárias","Tuberculose","A19.9 Tuberculose miliar não especificada"
"A200"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.0 Peste bubônica"
"A201"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.1 Peste celulocutânea"
"A202"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.2 Peste pneumônica"
"A203"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.3 Peste meníngea"
"A207"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.7 Peste septicêmica"
"A208"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.8 Outras formas de peste"
"A209"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A20.9 Peste, forma não especificada"
"A210"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.0 Tularemia ulceroglandular"
"A211"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.1 Tularemia oculoglandular"
"A212"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.2 Tularemia pulmonar"
"A213"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.3 Tularemia gastrointestinal"
"A217"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.7 Tularemia generalizada"
"A218"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.8 Outras formas de tularemia"
"A219"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A21.9 Tularemia, forma não especificada"
"A220"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.0 Carbúnculo cutâneo"
"A221"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.1 Carbúnculo pulmonar"
"A222"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.2 Carbúnculo gastrointestinal"
"A227"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.7 Septicemia carbunculosa"
"A228"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.8 Outras formas de carbúnculo"
"A229"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A22.9 Carbúnculo, forma não especificada"
"A230"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.0 Brucelose por Brucella melitensis"
"A231"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.1 Brucelose por Brucella abortus"
"A232"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.2 Brucelose por Brucella suis"
"A233"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.3 Brucelose por Brucella canis"
"A238"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.8 Outras bruceloses"
"A239"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A23.9 Brucelose não especificada"
"A240"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24.0 Mormo"
"A241"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24.1 Melioidose aguda e fulminante"
"A242"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24.2 Melioidose subaguda e crônica"
"A243"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24.3 Outras melioidoses"
"A244"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A24.4 Melioidose não especificada"
"A250"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25.0 Espirilose"
"A251"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25.1 Estreptobacilose"
"A259"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A25.9 Febre transmitida por mordedura de rato, tipo não especificado"
"A260"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26.0 Erisipelóide cutâneo"
"A267"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26.7 Septicemia por Erysipelothrix"
"A268"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26.8 Outras formas de erisipelóide"
"A269"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A26.9 Erisipelóide não especificado"
"A270"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27.0 Leptopirose icterohemorrágica"
"A278"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27.8 Outras formas de leptospirose"
"A279"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A27.9 Leptospirose não especificada"
"A280"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28.0 Pasteurelose"
"A281"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28.1 Doença por arranhadura do gato"
"A282"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28.2 Yersiniose extra-intestinal"
"A288"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28.8 Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte"
"A289"," I - Algumas doenças infecciosas e parasitárias","Algumas doenças bacterianas zoonóticas","A28.9 Doença bacteriana zoonótica não especificada"
"A300"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.0 Hanseníase [lepra] indeterminada"
"A301"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.1 Hanseníase [lepra] tuberculóide"
"A302"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.2 Hanseníase [lepra] tuberculóide borderline"
"A303"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.3 Hanseníase [lepra] dimorfa"
"A304"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.4 Hanseníase [lepra] lepromatosa borderline"
"A305"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.5 Hanseníase [lepra] lepromatosa"
"A308"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.8 Outras formas de hanseníase [lepra]"
"A309"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A30.9 Hanseníase [lepra] não especificada"
"A310"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31.0 Infecção pulmonar micobacteriana"
"A311"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31.1 Infecção cutânea micobacteriana"
"A318"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31.8 Outras infecções micobacterianas"
"A319"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A31.9 Infecção micobacteriana não especificada"
"A320"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32.0 Listeriose cutânea"
"A321"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32.1 Meningite e meningoencefalite por listéria"
"A327"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32.7 Septicemia listeriótica"
"A328"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32.8 Outras formas de listeriose"
"A329"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A32.9 Listeriose não especificada"
"A33"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A33. Tétano do recém-nascido [neonatal]"
"A34"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A34. Tétano obstétrico"
"A35"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A35. Outros tipos de tétano"
"A360"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.0 Difteria faríngea"
"A361"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.1 Difteria nasofaríngea"
"A362"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.2 Difteria laríngea"
"A363"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.3 Difteria cutânea"
"A368"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.8 Outras formas de difteria"
"A369"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A36.9 Difteria não especificada"
"A370"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37.0 Coqueluche por Bordetella pertussis"
"A371"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37.1 Coqueluche por Bordetella parapertussis"
"A378"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37.8 Coqueluche por outras espécies da Bordetella"
"A379"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A37.9 Coqueluche não especificada"
"A38"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A38. Escarlatina"
"A390"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.0 Meningite meningocócica"
"A391"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.1 Síndrome de Waterhouse-Friderichsen"
"A392"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.2 Meningococcemia aguda"
"A393"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.3 Meningococcemia crônica"
"A394"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.4 Meningococcemia não especificada"
"A395"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.5 Cardite por meningococos"
"A398"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.8 Outras infecções por meningococos"
"A399"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A39.9 Infecção meningocócica não especificada"
"A400"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.0 Septicemia por Streptococcus do grupo A"
"A401"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.1 Septicemia por Streptococcus do grupo B"
"A402"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.2 Septicemia por Streptococcus do grupo D"
"A403"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.3 Septicemia por Streptococcus pneumonia"
"A408"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.8 Outras septicemias estreptocócicas"
"A409"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A40.9 Septicemia estreptocócica não especificada"
"A410"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.0 Septicemia por Staphylococcus aureus"
"A411"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.1 Septicemia por outros estafilococos especificados"
"A412"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.2 Septicemia por estafilococos não especificados"
"A413"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.3 Septicemia por Haemophilus influenzae"
"A414"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.4 Septicemia por anaeróbios"
"A415"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.5 Septicemia por outros microorganismos gram-negativos"
"A418"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.8 Outras septicemias especificadas"
"A419"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A41.9 Septicemia não especificada"
"A420"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.0 Actinomicose pulmonar"
"A421"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.1 Actinomicose abdominal"
"A422"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.2 Actinomicose cervicofacial"
"A427"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.7 Septicemia actinomicótica"
"A428"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.8 Outras formas de actinomicose"
"A429"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A42.9 Actinomicose não especificada"
"A430"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A43.0 Nocardiose pulmonar"
"A431"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A43.1 Nocardiose cutânea"
"A438"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A43.8 Outras formas de nocardiose"
"A439"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A43.9 Nocardiose não especificada"
"A440"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A44.0 Bartonelose sistêmica"
"A441"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A44.1 Bartonelose cutânea e cutâneo-mucosa"
"A448"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A44.8 Outras formas de bartonelose"
"A449"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A44.9 Bartonelose não especificada"
"A46"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A46. Erisipela"
"A480"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.0 Gangrena gasosa"
"A481"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.1 Doença dos legionários"
"A482"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.2 Doença dos legionários não-pneumônica [febre de Pontiac]"
"A483"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.3 Síndrome do choque tóxico"
"A484"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.4 Febre purpúrica do Brasil"
"A488"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A48.8 Outras doenças bacterianas especificadas"
"A490"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.0 Infecção estafilocócica de localização não especificada"
"A491"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.1 Infecção estreptocócica de localização não especificada"
"A492"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.2 Infecção por Haemophilus influenzae de localização não especificada"
"A493"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.3 Infecção por Mycoplasma de localização não especificada"
"A498"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.8 Outras infecções bacterianas de localização não especificada"
"A499"," I - Algumas doenças infecciosas e parasitárias","Outras doenças bacterianas","A49.9 Infecção bacteriana não especificada"
"A500"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50.0 Sífilis congênita precoce sintomática"
"A501"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50.1 Sífilis congênita precoce, forma latente"
"A502"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50.2 Sífilis congênita precoce não especificada"
"A503"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50.3 Oculopatia sifilítica congênita tardia"
"A504"," I - Algumas doenças infecciosas e parasitárias","Infecções de transmissão predominantemente sexual","A50.4 Neurossífilis congênita tardia [neurossífilis juvenil]"
